"MCF-7_Rep1"	"MCF-7_Rep2"	"MCF-7_Rep3"	"GM12892_Rep1"	"GM12892_Rep2"	"GM12892_Rep3"	"H1-hESC_Rep1"	"H1-hESC_Rep2"	"H1-hESC_Rep3"	"H1-hESC_Rep4"
"1/2-SBSRNA4"	0.542532	0.318766	0.29253	0.268225	0.501255	0.43641	0.669895	0.603059	0.54942	0.424719
"A1BG"	0.751342	1.08066	1.32247	2.38974	0.421919	0.530068	2.43029	2.65009	2.23051	1.19905
"A1BG-AS1"	0.903149	0.549146	1.54021	0.701192	0.126308	0.662941	0.428739	0.373431	0.445454	0.575407
"A1CF"	0.00176153	0	0	0	0.00385721	0	0.00798406	0.00258695	0.0053568	0.0124734
"A2LD1"	1.37068	1.04053	1.14456	2.34131	2.419	1.83657	0.404214	0.681173	0.506076	0.624382
"A2M"	0.0071699	1.43517	0.0510643	0.1376	0.0313918	0.0299176	0.0380327	0.0367964	0.0217183	0.101096
"A2ML1"	0.0224083	7.53941	0.0395323	0.0148918	0	0	2.56467	3.42768	3.65853	2.46962
"A2MP1"	0.0316582	0	0.118899	0	0	0	0.0491012	0	0.0233875	0
"A4GALT"	5.26638	2.79177	9.03741	5.07523	3.25752	1.51048	3.48666	4.58236	4.45372	2.36631
"A4GNT"	0.0101212	0.0103583	0	0.0235857	0	0	0	0.0147585	0	0.023438
"AA06"	0	0	0	0	0	0	0	0	0	0
"AAA1"	0.014162	0	0	0.0153082	0.00775051	0	0.0053653	0.0100507	0.0103834	0.0166419
"AAAS"	29.7837	23.1135	38.1064	23.9935	15.5336	14.0054	31.8573	38.6064	34.2837	23.3361
"AACS"	20.8105	21.7803	32.8547	9.31174	9.35773	5.66253	27.0524	27.9506	26.0014	21.1349
"AACSP1"	0.104898	0	0.0610452	0	0.0353062	0	0.0246647	0.0589335	0.0484391	0.0187718
"AADAC"	0.0113008	0.0115593	0	0	0	0	0	0	0	0
"AADACL2"	0	0	0	0	0.0267086	0	0	0	0	0
"AADACL3"	0	0	0	0	0	0	0.272199	0.172677	0.219529	0.253005
"AADACL4"	0	0	0	0	0	0	0.0355493	0.0336543	0.0344355	0
"AADAT"	3.48043	2.69325	1.74588	0	0	0	3.95793	3.25659	3.05663	3.92405
"AAGAB"	34.803	21.5841	25.563	12.5062	13.729	11.9047	15.8825	13.9418	15.2487	18.7464
"AAK1"	1.38049	3.01675	0.926745	0.938899	1.44556	1.08369	2.27583	1.8409	1.96479	2.47413
"AAMP"	75.246	54.7515	104.176	39.1193	31.2644	24.0968	77.4756	81.6249	75.824	51.7734
"AANAT"	0.092869	0.0585822	0.125919	0.032455	0.0837936	0.0387822	0.234821	0.249363	0.223632	0.156886
"AARS"	90.7245	52.9643	110.646	58.6302	30.7998	31.6894	116.318	122.342	116.549	101.497
"AARS2"	2.74209	5.76924	4.57298	6.09892	4.41128	3.71782	7.96165	9.21224	9.75925	5.78201
"AARSD1"	6.36164	10.248	8.40936	15.6377	11.6937	13.2449	19.5836	23.0113	20.1321	19.6036
"AASDH"	1.99347	2.55163	1.20212	2.94337	4.10008	3.29806	3.23686	2.99663	2.96901	3.77127
"AASDHPPT"	8.14094	17.3265	3.26928	13.8325	15.9016	15.1178	8.32634	7.85415	7.2858	10.2769
"AASS"	2.77729	1.99332	0.622237	1.42227	0.0344732	1.58393	122.347	101.781	120.735	158.526
"AATF"	22.2177	29.6217	22.7916	44.3696	22.1229	21.257	35.7702	35.996	33.9252	32.4736
"AATK"	0.16661	0.12741	0.189235	0.0265877	0.0214492	0.0136266	0.651674	0.864355	0.856458	0.552982
"AATK-AS1"	0.0346113	0	0.0108754	0	0	0	0.0354969	0.0168031	0.0859675	0.0266329
"ABAT"	17.931	4.02797	19.7045	1.02686	2.06825	1.14059	3.14159	3.05724	3.05901	3.24241
"ABCA1"	2.28691	2.8056	1.43624	0.0162321	0.00339741	0.0323601	2.2699	1.95987	2.43279	2.00359
"ABCA10"	0.0599226	0.0401334	0.017334	0.433216	0.752956	0.626115	0.00394136	0	0.00395383	0
"ABCA11P"	3.11328	2.53373	2.3461	2.36078	3.11537	4.03477	3.21625	3.58044	3.97502	3.5801
"ABCA12"	0.455996	6.03297	0.572345	0.355786	0.131514	0.329998	0	0.00297539	0.00818873	0
"ABCA13"	0.00282432	0.172225	0.00716959	0.00765953	0	0.0196343	0.0127784	0.00553423	0.0109911	0.00556425
"ABCA17P"	0.180087	0.00410719	0.284909	0.0232761	0	0.0333994	0.0182098	0.017598	0.102951	0.0563741
"ABCA2"	32.6976	5.57456	89.9078	0.369165	0.264024	0.142383	3.35847	4.0739	4.35927	1.91291
"ABCA3"	7.27218	0.153255	21.8896	1.91731	0.28316	1.05836	3.14096	3.96049	4.03954	2.16203
"ABCA4"	0.16145	0.0598829	0.217466	0.0808221	0.0981952	0.0467742	0.0135599	0.00987525	0.0204331	0.0317136
"ABCA5"	2.57745	1.3849	0.629531	4.20509	10.236	8.58642	0.178653	0.0907782	0.115102	0.26935
"ABCA6"	0.00626694	0.0675603	0	0.896455	1.84535	1.13744	0	0	0	0
"ABCA7"	1.02832	3.41879	2.35096	2.76463	2.53162	1.13799	5.68923	5.77516	5.81595	3.29319
