"GM12892_Rep1"	"GM12892_Rep2"	"GM12892_Rep3"	"H1-hESC_Rep1"	"H1-hESC_Rep2"	"H1-hESC_Rep3"	"H1-hESC_Rep4"	"MCF-7_Rep1"	"MCF-7_Rep2"	"MCF-7_Rep3"
"1/2-SBSRNA4"	11	11	9	20	18	18	9	24	15	13
"A1BG"	195	18	24	150	172	148	49	71	100	129
"A1BG-AS1"	64	8	31	35	24	20	23	66	46	160
"A1CF"	0	1	0	3	1	2	3	1	0	0
"A2LD1"	253	161	113	23	41	30	14	168	125	181
"A2M"	33	4	4	7	7	4	12	2	391	14
"A2ML1"	5	0	1	525	732	755	323	7	2276	13
"A2MP1"	0	0	0	2	0	1	0	2	0	8
"A4GALT"	516	177	87	271	378	357	121	621	324	1132
"A4GNT"	2	0	0	0	1	0	1	1	1	0
"AA06"	0	0	0	0	0	0	0	0	0	0
"AAA1"	1	1	0	1	1	2	2	4	0	0
"AAAS"	2134	731	692	2142	2760	2391	1049	3083	2327	4174
"AACS"	1574	835	532	3540	3768	3401	1762	4095	4176	6806
"AACSP1"	0	2	0	2	3	5	1	12	0	8
"AADAC"	0	0	0	0	0	0	0	1	1	0
"AADACL2"	0	1	0	0	0	0	0	0	0	0
"AADACL3"	0	0	0	43	28	35	26	0	0	0
"AADACL4"	0	0	0	2	2	2	0	0	0	0
"AADAT"	0	0	0	336	287	262	221	449	346	239
"AAGAB"	1767	1026	939	1722	1575	1670	1328	5707	3464	4447
"AAK1"	1034	867	684	1981	1633	1667	1373	1805	3840	1275
"AAMP"	3355	1423	1148	5055	5594	5076	2233	7524	5352	11030
"AANAT"	3	2	2	12	11	11	5	10	4	10
"AARS"	9936	2769	2988	15089	16488	15236	8544	17867	10180	22949
"AARS2"	1474	558	503	1466	1746	1812	688	769	1584	1370
"AARSD1"	1399	535	650	1305	1610	1374	848	645	1014	897
"AASDH"	552	399	334	452	441	422	341	426	533	281
"AASDHPPT"	2001	1195	1194	942	896	808	727	1346	2773	608
"AASS"	431	5	266	28637	24523	28106	23709	968	683	229
"AATF"	4643	1225	1235	2845	2996	2750	1696	2705	3522	2926
"AATK"	7	3	2	137	186	187	72	55	41	61
"AATK-AS1"	0	0	0	2	1	5	1	2	0	1
"ABAT"	246	266	157	578	582	570	395	4963	1091	5689
"ABCA1"	9	1	10	970	863	1026	545	1460	1753	968
"ABCA10"	141	133	116	1	0	1	0	24	15	7
"ABCA11P"	211	149	176	216	257	275	161	328	256	264
"ABCA12"	161	31	88	0	1	3	0	241	3147	301
"ABCA13"	6	0	10	9	4	7	2	3	176	8
"ABCA17P"	4	0	3	3	3	17	6	41	1	75
"ABCA2"	159	59	32	1099	1401	1439	406	16278	2700	47102
"ABCA3"	662	54	206	836	1088	1068	368	2923	60	9255
"ABCA4"	31	20	10	4	3	6	6	72	26	101
"ABCA5"	1941	2551	2291	66	35	44	63	1365	698	366
"ABCA6"	250	269	175	0	0	0	0	2	21	0
"ABCA7"	987	473	225	1564	1647	1593	576	434	1380	1027
"ABCA8"	7	12	7	1	0	0	0	0	0	0
"ABCA9"	34	59	38	0	1	2	0	11	8	5
"ABCB1"	31	35	17	49	20	40	38	9	2	8
"ABCB10"	1462	900	994	323	330	318	249	930	1708	716
"ABCB11"	0	0	1	2	1	0	3	0	0	0
"ABCB4"	175	142	94	42	38	31	21	18	4	6
"ABCB5"	3	2	2	2	1	3	0	0	2	1
"ABCB6"	1068	485	425	2458	2692	2467	1148	1191	649	2844
"ABCB7"	1946	1195	1011	1523	1422	1406	1055	909	1016	635
"ABCB8"	889	317	213	901	1055	966	383	1674	1987	3304
"ABCB9"	31	40	10	170	179	168	58	552	787	1371
"ABCC1"	4614	2210	1877	6322	6642	6598	3259	5695	6701	6662
"ABCC10"	927	575	403	865	974	957	348	1426	1995	2590
"ABCC11"	8	1	1	7	2	2	3	10	30	3
"ABCC12"	1	0	0	0	2	0	0	0	0	0
"ABCC13"	0	0	0	1	1	2	0	35	0	17
"ABCC2"	42	8	18	31	27	24	37	49	47	50
"ABCC3"	12	1	8	12	14	18	6	3024	4969	4676
"ABCC4"	2829	1145	1511	553	489	495	324	1293	810	635
"ABCC5"	631	279	251	2417	2215	2254	1387	4063	1391	5167
"ABCC6"	2	4	11	41	51	39	19	10	5	11
"ABCC6P1"	0	0	0	10	7	12	1	0	1	0
"ABCC6P2"	0	0	0	6	12	10	1	6	3	8
"ABCC8"	0	0	0	97	115	134	42	116	0	291
"ABCC9"	578	427	546	803	792	624	425	3311	366	1068
"ABCD1"	121	70	18	215	232	238	78	541	239	1134
"ABCD2"	660	440	381	2	0	1	0	6	19	2
"ABCD3"	1342	769	831	918	746	732	728	1484	4835	935
"ABCD4"	748	393	361	2117	2173	2155	983	1081	602	1388
"ABCE1"	6679	3339	3868	3916	2640	2671	3351	5568	8869	2249
"ABCF1"	5157	1655	1570	8408	8561	8241	4966	7166	6200	9540
"ABCF2"	4042	1248	1278	3029	2923	2805	1660	4982	5870	7160
"ABCF3"	1785	531	592	1885	1938	1831	877	4602	2494	7077
"ABCG1"	117	84	45	139	137	144	75	1162	251	1831
"ABCG2"	0	1	0	142	172	135	105	85	299	153
"ABCG4"	2	2	1	126	130	130	50	11	29	14
"ABCG5"	0	0	2	1	0	0	0	0	0	0
"ABCG8"	0	1	3	0	2	0	1	19	0	35
"ABHD1"	1	0	1	3	9	8	2	16	1	11
"ABHD10"	1276	999	868	471	506	501	366	1166	1238	818
"ABHD11"	384	109	148	531	614	603	205	2086	1017	3553
"ABHD11-AS1"	0	5	3	0	1	1	0	6	0	9
"ABHD12"	1913	786	714	2600	2814	2610	1295	4819	1372	5233
"ABHD12B"	13	0	8	72	73	90	57	2	9	0
"ABHD13"	734	446	458	256	235	195	227	895	889	271
"ABHD14A"	208	104	62	64	101	64	20	195	319	383
"ABHD14A-ACY1"	0	0	0	0	2	0	0	1	1	2
"ABHD14B"	3942	1558	1117	229	275	283	112	1421	1321	1982
"ABHD15"	372	194	130	112	122	116	57	978	702	1361
"ABHD16A"	826	378	307	1091	1173	1085	503	1705	969	2778
"ABHD16B"	112	43	11	135	143	152	36	509	193	1126
"ABHD2"	2639	787	1086	1878	1585	1809	1253	16324	3778	10223
"ABHD3"	495	346	423	234	223	200	131	616	861	396
"ABHD4"	660	379	197	1402	1589	1462	836	1269	634	2242
"ABHD5"	333	150	170	587	457	469	426	1819	2341	1256
"ABHD6"	375	353	172	213	247	202	113	164	361	154
"ABHD8"	579	202	42	739	745	689	265	246	303	445
"ABI1"	3238	2254	2141	998	917	998	832	3565	3562	2015
"ABI2"	1704	1334	1229	4747	4360	4666	3331	3467	2229	2589
"ABI3"	2443	1007	512	55	79	69	24	1	0	11
"ABI3BP"	6	7	8	0	1	6	5	2	15	0
"ABL1"	2531	911	796	7476	6900	6984	3721	7548	4483	8428
"ABL2"	553	404	427	1308	1197	1265	875	1776	5005	1298
"ABLIM1"	5018	1557	2173	3391	2898	3183	2270	11045	6705	2610
"ABLIM2"	27	2	5	152	164	138	69	327	32	662
"ABLIM3"	1	0	0	20	26	38	6	937	2431	1112
"ABO"	8	0	2	5	4	4	5	0	1	0
"ABP1"	0	0	0	8	11	11	3	5	0	1
"ABR"	4434	1687	1436	2195	2826	2906	1143	6935	6241	10100
"ABRA"	1	2	1	0	0	0	0	0	0	0
"ABT1"	1630	789	740	1190	1217	1089	527	1272	1400	1892
"ABTB1"	651	270	193	192	205	195	79	639	656	834
"ABTB2"	568	74	123	1094	1000	937	530	1826	309	2568
"ACAA1"	2045	899	720	914	1072	934	460	3919	3250	5031
"ACAA2"	3025	1341	1269	5448	5642	5321	3329	6284	1978	4724
"ACACA"	3515	979	1218	10614	9261	9787	6374	3820	12434	5331
"ACACB"	83	41	31	807	846	871	374	398	245	673
"ACAD10"	1181	475	466	915	937	943	476	1184	858	1178
"ACAD11"	235	122	88	70	114	90	52	132	200	351
"ACAD8"	1124	459	504	1886	2042	1823	1068	959	957	1102
"ACAD9"	1992	632	667	1078	1205	1098	539	3679	2898	5511
"ACADL"	0	0	0	16	12	8	10	135	5	70
"ACADM"	7139	4840	4394	1288	1109	1044	1122	801	1248	266
"ACADS"	963	480	145	176	335	295	77	464	78	633
"ACADSB"	1896	1186	1250	532	582	640	450	831	474	374
"ACADVL"	6730	4159	2384	4242	4870	4657	2388	9134	9942	11166
"ACAN"	0	0	0	85	127	127	54	0	41	0
"ACAP1"	5999	2218	1603	783	1035	863	384	28	46	34
"ACAP2"	2331	2501	2223	1109	771	935	957	3118	2658	1341
"ACAP3"	2920	736	494	1498	1518	1574	560	3663	1862	6632
"ACAT1"	3850	1728	1986	1093	1090	1133	785	1428	2566	1257
"ACAT2"	4947	1831	2566	5240	4450	3848	2877	2642	6177	3520
"ACBD3"	1471	995	799	1110	1089	1074	866	2859	3282	1938
"ACBD4"	502	250	129	370	452	439	242	214	208	252
"ACBD5"	987	718	756	594	488	509	457	1900	1162	1548
"ACBD6"	2267	944	848	1604	1830	1680	982	2761	2498	3419
"ACBD7"	26	10	18	725	783	807	539	1174	28	500
"ACCN1"	0	1	0	26	40	26	8	0	7	0
"ACCN2"	71	22	18	258	313	308	132	460	603	722
"ACCN3"	75	38	20	93	85	85	30	158	23	306
"ACCN4"	4	3	0	5	19	20	3	35	15	19
"ACCN5"	0	0	0	0	0	0	0	0	0	0
"ACCS"	891	138	320	103	149	171	62	282	133	423
"ACCSL"	19	15	11	0	2	0	1	0	0	0
"ACD"	1257	411	252	1231	1305	1082	547	1397	1454	2571
"ACE"	54	8	14	215	285	240	72	151	39	244
"ACE2"	1	0	1	4	9	8	8	35	2	8
"ACER1"	0	0	1	0	0	0	0	1	0	0
"ACER2"	182	151	142	385	263	295	251	336	561	285
"ACER3"	373	220	242	412	357	411	342	1109	3142	610
"ACHE"	139	137	24	94	149	101	43	151	6	190
"ACIN1"	6968	2800	2612	12717	10882	10699	7473	11196	7014	12092
"ACLY"	10917	3921	4067	21958	21278	21162	12871	12140	47193	17199
"ACMSD"	0	0	1	0	0	0	0	0	0	0
"ACN9"	656	378	316	462	529	482	404	0	688	0
"ACO1"	1490	304	542	3434	3599	3489	1990	1997	4793	2101
"ACO2"	6138	1974	1840	2869	3206	2938	1294	4068	4315	8437
"ACOT1"	111	26	35	24	65	74	20	86	306	184
"ACOT11"	41	2	15	160	188	200	80	154	724	263
"ACOT12"	0	0	0	7	8	6	2	0	0	0
"ACOT13"	1277	864	755	1010	1405	1184	791	1084	1698	692
"ACOT2"	950	329	211	91	132	106	40	821	604	1382
"ACOT4"	197	49	91	36	47	43	19	486	16	549
"ACOT6"	2	4	2	8	13	7	3	0	1	0
"ACOT7"	3335	919	911	5092	5786	4753	2214	2996	12499	7492
"ACOT8"	597	261	197	720	865	657	287	592	780	1308
"ACOT9"	923	400	377	1032	929	900	737	1226	3674	1014
"ACOX1"	1434	828	799	927	905	931	590	4350	2346	3076
"ACOX2"	0	0	0	53	84	77	32	50	19	35
"ACOX3"	979	332	363	251	361	311	157	1259	770	1445
"ACOXL"	398	34	134	491	665	624	299	33	60	24
"ACP1"	4211	2088	2017	3979	4096	3696	2942	5501	3877	3888
"ACP2"	646	206	198	848	940	958	343	1345	1218	2156
"ACP5"	1593	699	563	287	401	311	110	2	767	5
"ACP6"	458	230	189	398	397	385	275	2638	257	1492
"ACPL2"	13	5	5	834	927	877	622	488	174	329
"ACPP"	5	15	1	87	79	69	51	75	29	43
"ACPT"	1	4	2	2	2	1	0	0	0	2
"ACR"	0	0	0	2	3	2	2	7	5	3
"ACRBP"	77	25	35	19	32	36	7	24	1	16
"ACRC"	30	48	28	32	35	31	25	105	38	49
"ACRV1"	4	2	4	7	7	7	4	7	1	2
"ACSBG1"	15	2	7	139	157	171	52	39	7	44
"ACSBG2"	1	6	2	2	2	4	1	5	2	2
"ACSF2"	777	326	344	306	408	387	167	940	923	1096
"ACSF3"	1088	581	320	579	729	698	250	1694	858	3120
"ACSL1"	4108	1515	1842	331	246	269	226	1096	4132	886
"ACSL3"	1910	684	1096	2733	2089	2216	2107	9250	13779	4961
"ACSL4"	4196	2314	2743	1631	1224	1358	1339	235	9279	94
"ACSL5"	2920	1075	1363	1	1	2	2	1	27	1
"ACSL6"	3	8	3	84	107	101	68	9	9	5
"ACSM1"	1	3	1	8	9	13	5	1	18	2
"ACSM2A"	0	0	0	0	0	0	0	0	0	0
"ACSM2B"	0	0	0	0	0	0	0	0	0	0
"ACSM3"	168	151	102	148	178	167	113	47	24	14
"ACSM4"	0	0	0	0	0	0	0	0	0	0
"ACSM5"	0	0	0	1	1	0	0	4	0	2
"ACSS1"	2297	783	836	244	341	295	123	409	294	416
"ACSS2"	1112	224	357	710	863	886	343	1003	7221	1519
"ACSS3"	0	0	1	1086	871	953	751	940	2	646
"ACTA1"	2	0	0	1152	918	809	554	6	3	8
"ACTA2"	2063	853	584	234	307	298	149	636	1108	696
"ACTB"	678163	172136	212973	203839	211284	196321	120446	270315	475098	512427
"ACTBL2"	2	1	1	0	0	0	0	4	5	16
"ACTC1"	0	0	1	2189	1603	1513	1221	0	3	0
"ACTG1"	212316	58036	55073	118318	122121	114502	58876	207548	229142	336453
"ACTG2"	9	1	3	379	248	257	207	100	40	912
"ACTL6A"	3044	1235	1764	2381	2289	2187	1676	7406	3632	4939
"ACTL6B"	0	0	0	39	78	73	27	0	0	0
"ACTL7A"	1	0	0	0	0	0	0	0	0	1
"ACTL7B"	0	0	1	0	0	0	0	3	0	4
"ACTL8"	0	1	2	27	25	27	20	51	0	46
"ACTL9"	0	0	0	0	0	0	0	0	0	0
"ACTN1"	72	4	22	14582	15132	13912	7317	18736	79916	35325
"ACTN2"	1	0	2	145	120	130	69	0	0	0
"ACTN3"	55	20	18	3234	4530	4173	1611	3	2	8
"ACTN4"	14477	4282	2708	15871	17745	16362	8341	45237	70016	95875
"ACTR10"	791	584	651	560	501	463	407	2327	2398	905
"ACTR1A"	3242	1184	1178	4716	4717	4310	2357	5713	9249	8227
"ACTR1B"	3935	2075	1757	1473	2071	1811	701	3926	3029	7280
"ACTR2"	30174	13458	13654	5986	5085	4866	5285	21472	27893	7807
"ACTR3"	23133	9753	10968	4165	3635	3670	2903	13872	17962	8680
"ACTR3B"	532	288	244	1103	1309	1188	727	434	208	532
"ACTR3BP2"	0	0	0	0	0	0	0	0	0	0
"ACTR3BP5"	0	0	1	0	0	0	0	0	0	0
"ACTR3C"	40	44	18	20	12	10	12	92	16	109
"ACTR5"	616	159	224	658	638	587	312	517	527	653
"ACTR6"	869	476	554	338	306	297	342	1126	743	278
"ACTR8"	1271	543	522	815	770	822	451	1525	1366	1383
"ACTRT1"	1	0	0	1	0	0	1	0	0	0
"ACTRT2"	0	0	0	0	0	0	0	0	0	0
"ACVR1"	3	9	2	765	742	742	411	1550	1646	1315
"ACVR1B"	75	25	28	1351	1657	1615	735	2799	1524	3261
"ACVR1C"	2	0	3	16	25	15	23	27	14	7
"ACVR2A"	73	26	64	518	455	414	398	781	532	317
"ACVR2B"	394	228	378	6513	6408	6244	5250	861	324	531
"ACVRL1"	5	0	4	11	19	16	4	0	1	0
"ACY1"	129	49	21	119	151	131	34	113	585	276
"ACY3"	438	8	120	2	0	3	0	0	6	0
"ACYP1"	470	108	225	234	251	273	251	376	488	249
"ACYP2"	67	134	37	23	37	36	16	267	436	146
"ADA"	3096	2165	1077	655	1052	913	297	401	743	462
"ADAD1"	0	0	0	0	0	0	0	0	0	0
"ADAD2"	13	2	0	15	27	20	12	4	3	5
"ADAL"	457	275	297	458	462	456	341	228	343	159
"ADAM1"	157	123	124	379	398	430	250	239	68	286
"ADAM10"	2470	2150	1590	3814	2951	3160	2991	2905	8513	1853
"ADAM11"	30	14	9	310	378	383	163	339	5	519
"ADAM12"	23	7	8	18	13	17	13	32	148	25
